Mesocosm,Date,Phase,Place,Sal,Temp,Treatment,Temperature,SatDO,ConcDO,pH,AirT,fCH4,fCO2,fN2O
Mersin1,05/09/2023,1PreHW,Mersin,40,NO,40NOHEAT,28,80.5,4.97,8.94,33,0.663159573,-21.55471608,11.6954532
Mersin2,05/09/2023,1PreHW,Mersin,40,YES,40HEAT,28.2,45.5,2.76,8.41,33,0.029149871,-26.61195599,13.85876559
Mersin3,05/09/2023,1PreHW,Mersin,40,YES,40HEAT,27.9,74.1,4.59,9.13,33,-1.115893512,-23.24314794,8.091493413
Mersin4,05/09/2023,1PreHW,Mersin,4,NO,4NOHEAT,28.1,56,4.26,8.88,33,0.111589351,-28.89452106,-13.93125988
Mersin5,05/09/2023,1PreHW,Mersin,4,NO,4NOHEAT,28,75.6,5.79,9.02,33,5.576962492,-15.66565002,-4.397808987
Mersin6,05/09/2023,1PreHW,Mersin,4,YES,4HEAT,28.1,62.8,4.78,9.03,33,4.3724807,-23.23154885,17.48797428
Mersin7,05/09/2023,1PreHW,Mersin,40,NO,40NOHEAT,28.3,93.8,5.72,9.13,33,0.207237366,-21.09015607,7.413746877
Mersin8,05/09/2023,1PreHW,Mersin,4,YES,4HEAT,28.1,64.3,4.83,9.05,33,0.010931202,1.814020357,11.1573714
Mersin9,05/09/2023,1PreHW,Mersin,40,NO,40NOHEAT,28.2,83.2,5.1,8.83,33,-0.182232242,-39.90870891,-1.793797035
Mersin10,05/09/2023,1PreHW,Mersin,4,YES,4HEAT,28.1,56.3,4.28,9.24,33,-0.288538179,-2.107114026,-2.881167595
Mersin11,05/09/2023,1PreHW,Mersin,4,YES,4HEAT,28.1,62.5,4.77,9.17,33,1.162351119,-26.04550492,1.918845801
Mersin12,05/09/2023,1PreHW,Mersin,4,NO,4NOHEAT,28.3,71.5,5.44,9,33,0.921591401,-13.56831724,0.660785027
Mersin13,05/09/2023,1PreHW,Mersin,40,YES,40HEAT,28.4,32.8,1.99,8.15,33,-0.111589351,-28.94675311,-6.852905622
Mersin14,05/09/2023,1PreHW,Mersin,40,YES,40HEAT,28.5,42.9,2.64,8.36,33,-0.247956093,-15.04602016,-183.7023783
Mersin15,05/09/2023,1PreHW,Mersin,4,NO,4NOHEAT,28.2,57.8,4.41,9.11,33,0.068365558,-4.855033628,11.03464688
Mersin16,05/09/2023,1PreHW,Mersin,40,NO,40NOHEAT,28.4,77.8,4.86,8.77,33,1.867413632,-17.52685381,1.254760025
Mersin1,17/10/2023,2HW,Mersin,40,NO,40NOHEAT,24.1,151.6,10.19,9.12,29,-0.414129933,-16.58418045,6.127896089
Mersin2,17/10/2023,2HW,Mersin,40,YES,40HEAT,28.5,153.8,9.5,8.46,29,-0.08588452,4.482158421,-7.206472422
Mersin3,17/10/2023,2HW,Mersin,40,YES,40HEAT,28.3,150.4,9.34,8.94,29,0.049724332,-16.0089533,17.50700859
Mersin4,17/10/2023,2HW,Mersin,4,NO,4NOHEAT,23.7,139.1,11.53,9.72,29,3.246298102,-20.42143252,4.839499681
