Mesocosm,Date,fCO2,fCH4,fN2O,Phase,Place,Sal,Temp,Treatment,Mes,Temperature,SPC,Salinity,SatDO,ConcDO,pH,Secchi,Chla,TSS,Alkalinity
Ankara1,29/08/2022,-18.90803222,0.080306001,1015.434987,1PreHW,Ankara,40,NO,pre40NOHEAT,1,23.82,61.44,41.33,91.8,6.12,9.08,106,30.51,53.25,2.97
Ankara2,29/08/2022,-16.48913499,0.329031549,1117.561834,1PreHW,Ankara,40,YES,pre40HEAT,2,23.8,60.8,40.84,79.3,5.3,9.07,92,68.11,81.15,3.68
Ankara3,29/08/2022,-12.94309666,0.24755249,845.4743445,1PreHW,Ankara,40,YES,pre40HEAT,3,23.78,61.16,41.12,79.5,5.31,8.83,103,21.97,50.93,2.78
Ankara4,29/08/2022,-28.24665907,0.325111348,27.77838164,1PreHW,Ankara,4,NO,pre4NOHEAT,4,23.62,8.12,4.5,100.9,8.33,9.34,46,37.17,43.75,2.68
Ankara5,29/08/2022,-31.36181914,0.384105384,12.79116363,1PreHW,Ankara,4,NO,pre4NOHEAT,5,23.67,7.98,4.42,126.5,10.45,9.79,120,3.07,8.72,5.46
Ankara6,29/08/2022,-23.02648558,0.713904199,55.58776036,1PreHW,Ankara,4,YES,pre4HEAT,6,23.63,8.17,4.53,84.5,6.98,9.16,82,25.85,17.01,3
Ankara7,29/08/2022,-23.16021523,0.13054121,1083.238944,1PreHW,Ankara,40,NO,pre40NOHEAT,7,23.88,60.7,40.77,129.5,8.65,9.1,107,31.02,61.21,3.16
Ankara8,29/08/2022,-21.81740121,0.271037126,53.62732689,1PreHW,Ankara,4,YES,pre4HEAT,8,23.44,8.38,4.66,97.1,8.05,9.68,104,20.25,13.4,3.06
Ankara9,29/08/2022,-22.51724491,0.231624253,233.2061238,1PreHW,Ankara,40,NO,pre40NOHEAT,9,23.65,61.84,41.64,117.8,7.86,9.29,100,14.2,66,4.88
Ankara10,29/08/2022,-23.08837866,0.191144314,30.00093832,1PreHW,Ankara,4,YES,pre4HEAT,10,23.45,8.25,4.58,112.7,9.34,9.98,120,4.46,9.4,5.32
Ankara11,29/08/2022,-27.28777586,0.344152958,63.89512393,1PreHW,Ankara,4,NO,pre4NOHEAT,11,23.85,8.32,4.62,158.8,13.06,10.1,120,2.95,7.8,6.59
Ankara12,29/08/2022,-28.19150653,0.553257477,49.22919875,1PreHW,Ankara,4,NO,pre4NOHEAT,12,23.56,8.25,4.58,91.8,7.59,9.51,87,13.32,17.33,6.14
Ankara13,29/08/2022,,,,1PreHW,Ankara,40,YES,pre40HEAT,13,23.82,59.82,40.1,72,4.84,8.84,108,20.44,41.26,3.08
Ankara14,29/08/2022,-19.34844223,0.096234238,573.0472227,1PreHW,Ankara,40,YES,pre40HEAT,14,23.91,59.89,40.15,100,6.7,8.94,118,5.05,32.4,3.39
Ankara15,29/08/2022,-22.88039819,0.564112843,32.22762294,1PreHW,Ankara,4,YES,pre4HEAT,15,23.3,8.36,4.65,80.5,6.68,8.99,78,32.72,22.29,3.29
Ankara16,29/08/2022,-11.98244578,0.236525249,776.8373911,1PreHW,Ankara,40,NO,pre40NOHEAT,16,24,59.05,39.51,62.1,4.17,8.59,94,12.24,36.18,1.47
Ankara1,05/09/2022,,0.068666136,,1PreHW,Ankara,40,NO,pre40NOHEAT,1,22.94,63.44,42.88,83.6,5.61,9.05,120,14.89,39,3.03
